,date,open_x,high_x,low_x,close_x,volume_x,market cap_x,open_y,high_y,low_y,close_y,volume_y,market cap_y,open,high,low,close,volume,market cap
1245,2019-01-03,155.2,155.86,147.2,149.14,2676164880.0,15536849936.0,1.02,1.03,1.02,1.02,3487202823.0,1900260730.0,3931.05,3935.69,3826.22,3836.74,4530215219.0,66994920903.0
1246,2019-01-04,148.91,156.88,147.91,154.58,3126192535.0,16107068093.0,1.02,1.02,1.01,1.02,3895786727.0,1898444419.0,3832.04,3865.93,3783.85,3857.72,4847965467.0,67368333500.0
1247,2019-01-05,154.34,160.82,154.34,155.64,3338211928.0,16219974745.0,1.02,1.03,1.01,1.02,3993806914.0,1900850297.0,3851.97,3904.9,3836.9,3845.19,5137609824.0,67157570935.0
1248,2019-01-06,155.8,159.37,152.09,157.75,3231294371.0,16442429109.0,1.02,1.03,1.0,1.02,4224650070.0,1910347641.0,3836.52,4093.3,3826.51,4076.63,5597027440.0,71206795853.0
1249,2019-01-07,157.81,158.45,151.15,151.7,2712108388.0,15814868678.0,1.02,1.02,1.01,1.01,3761972510.0,1899849838.0,4078.59,4092.61,4020.89,4025.25,5228625637.0,70316305580.0
1250,2019-01-08,151.97,153.63,148.67,150.36,2459808140.0,15677889902.0,1.01,1.02,1.01,1.02,3843200052.0,1921519012.0,4028.47,4109.02,3996.96,4030.85,5306593305.0,70422743854.0
1251,2019-01-09,150.55,153.62,150.29,150.8,2369241197.0,15726845711.0,1.02,1.02,1.01,1.02,3694148978.0,1924061690.0,4031.55,4068.4,4022.66,4035.3,5115905225.0,70508733459.0
1252,2019-01-10,150.84,152.15,126.53,128.63,3397734456.0,13416263931.0,1.02,1.05,1.02,1.02,5844376311.0,1951532809.0,4034.41,4064.07,3659.17,3678.92,6874143796.0,64288932886.0
1253,2019-01-11,127.81,130.17,125.24,127.55,2667585234.0,13306214134.0,1.03,1.03,1.02,1.02,4194066259.0,1973324876.0,3674.02,3713.88,3653.07,3687.37,5538712865.0,64443301117.0
1254,2019-01-12,127.53,128.67,125.45,125.97,2212109224.0,13143426379.0,1.02,1.03,1.02,1.02,3258438567.0,1968628488.0,3686.97,3698.98,3653.81,3661.3,4778170883.0,63994140882.0
1255,2019-01-13,125.91,126.27,116.09,116.9,2268263944.0,12199288487.0,1.02,1.04,1.02,1.02,3380321686.0,1967105373.0,3658.87,3674.76,3544.93,3552.95,4681302466.0,62106461671.0
1256,2019-01-14,116.98,130.86,116.97,129.07,2798085735.0,13471754802.0,1.02,1.03,1.01,1.02,4072427029.0,1994117522.0,3557.31,3727.84,3552.29,3706.05,5651384490.0,64789619995.0
1257,2019-01-15,129.17,130.74,120.31,122.03,2735449164.0,12739543688.0,1.02,1.03,1.02,1.02,3956962447.0,2030634314.0,3704.22,3720.15,3619.95,3630.68,5537192302.0,63477817959.0
1258,2019-01-16,121.81,127.12,121.44,123.55,2746469340.0,12899812275.0,1.02,1.02,1.02,1.02,3933540777.0,2034461698.0,3631.51,3685.78,3624.67,3655.01,5394457145.0,63909348776.0
1259,2019-01-17,123.57,124.27,120.82,123.74,2594091285.0,12922347330.0,1.02,1.02,1.01,1.02,4146824182.0,2039914521.0,3651.87,3680.14,3621.96,3678.56,5464420383.0,64327048255.0
1260,2019-01-18,123.65,123.84,120.24,121.01,2305389800.0,12639234713.0,1.02,1.02,1.01,1.02,3661299223.0,2049916429.0,3677.99,3682.52,3637.08,3657.84,5002961727.0,63970991867.0
1261,2019-01-19,121.61,125.9,121.16,124.52,3048261797.0,13007954846.0,1.01,1.02,1.01,1.02,3961648844.0,2049986707.0,3652.38,3758.53,3652.38,3728.57,5955691380.0,65214103659.0
1262,2019-01-20,124.63,125.07,118.7,119.47,2964108269.0,12483136112.0,1.02,1.03,1.01,1.02,4389435191.0,2050721693.0,3725.45,3743.39,3583.02,3601.01,5582489560.0,62990143284.0
1263,2019-01-21,119.64,119.72,116.16,117.16,2421720343.0,12242940197.0,1.02,1.02,1.01,1.01,3497758658.0,2043620530.0,3600.37,3608.84,3558.54,3576.03,5004347059.0,62559869612.0
1264,2019-01-22,117.11,119.66,114.68,118.75,2552507405.0,12410972241.0,1.01,1.02,1.01,1.01,3879616222.0,2035374036.0,3575.08,3620.75,3539.72,3604.58,5313623556.0,63065139424.0
