,date,open,high,low,close,volume,market cap
221,"Jun 11, 2022",29084.67,29401.92,28236.21,28360.81,27246574439.0,540698499860.0
222,"Jun 10, 2022",30110.33,30245.81,28978.15,29083.8,29867476527.0,554455834486.0
223,"Jun 09, 2022",30215.28,30609.31,30020.26,30112.0,21692004719.0,574029141739.0
224,"Jun 08, 2022",31151.48,31253.69,29944.4,30214.36,30242059107.0,575953219488.0
225,"Jun 07, 2022",31371.74,31489.68,29311.68,31155.48,40770974039.0,593857882017.0
226,"Jun 06, 2022",29910.28,31693.29,29894.19,31370.67,31947336829.0,597927548347.0
227,"Jun 05, 2022",29835.12,30117.74,29574.45,29906.66,17264085441.0,569996838237.0
228,"Jun 04, 2022",29706.14,29930.56,29500.01,29832.91,16588370958.0,568564420350.0
229,"Jun 03, 2022",30467.81,30633.03,29375.69,29704.39,26175547452.0,566088081691.0
230,"Jun 02, 2022",29794.89,30604.73,29652.7,30467.49,29083562061.0,580603466872.0
231,"Jun 01, 2022",31792.55,31957.28,29501.59,29799.08,41135817341.0,567842680886.0
232,"May 31, 2022",31723.87,32249.86,31286.15,31792.31,33538210634.0,605797887876.0
233,"May 30, 2022",29443.37,31949.63,29303.57,31726.39,39277993274.0,604513442526.0
234,"May 29, 2022",29019.87,29498.01,28841.11,29445.96,18093886409.0,561034743433.0
235,"May 28, 2022",28842.1,29135.92,28554.57,29023.49,19252320708.0,552958193308.0
236,"May 27, 2022",29251.14,29346.94,28326.61,28627.57,36582005748.0,545388222664.0
237,"May 26, 2022",29564.78,29834.16,28261.91,29267.22,36774325352.0,557547946793.0
238,"May 25, 2022",29653.14,30157.78,29384.95,29562.36,27525063551.0,563145244692.0
239,"May 24, 2022",29101.13,29774.35,28786.59,29655.59,26616506245.0,564895173841.0
240,"May 23, 2022",30309.4,30590.59,28975.56,29098.91,31483454557.0,554268758109.0
241,"May 22, 2022",29432.47,30425.86,29275.18,30323.72,21631532270.0,577568895836.0
242,"May 21, 2022",29199.86,29588.87,29027.39,29432.23,17274840442.0,560565793082.0
243,"May 20, 2022",30311.12,30664.98,28793.61,29200.74,30749382605.0,556131920269.0
244,"May 19, 2022",28720.36,30430.75,28708.96,30314.33,33773447707.0,577316228899.0
245,"May 18, 2022",30424.48,30618.72,28720.27,28720.27,31285268319.0,546936441380.0
246,"May 17, 2022",29862.41,30694.49,29570.3,30425.86,29101473475.0,579391415566.0
247,"May 16, 2022",31304.37,31305.34,29251.89,29862.92,32613897286.0,568643328349.0
248,"May 15, 2022",30098.59,31308.19,29527.74,31305.11,25835372065.0,596074575228.0
249,"May 14, 2022",29285.64,30192.8,28702.91,30101.27,28579868620.0,573129618195.0
250,"May 13, 2022",29030.91,30924.8,28782.33,29283.1,42841124537.0,557525025253.0
251,"May 12, 2022",28936.73,30032.44,26350.49,29047.75,66989173272.0,553017241735.0
252,"May 11, 2022",31016.18,32013.4,28170.41,28936.36,70388855818.0,550870071634.0
253,"May 10, 2022",30273.65,32596.31,29944.8,31022.91,59811038817.0,590565398299.0
254,"May 09, 2022",34060.02,34222.07,30296.95,30296.95,63355494961.0,576716899023.0
255,"May 08, 2022",35502.94,35502.94,33878.96,34059.26,36763041910.0,648302121215.0
256,"May 07, 2022",36042.5,36129.93,34940.82,35501.95,24375896406.0,675729532874.0
257,"May 06, 2022",36573.18,36624.36,35482.13,36040.92,37795577489.0,685953792236.0
258,"May 05, 2022",39695.75,39789.28,35856.52,36575.14,43106256317.0,696088266356.0
259,"May 04, 2022",37748.01,39902.95,37732.06,39698.37,36754404490.0,755491473700.0
260,"May 03, 2022",38528.11,38629.99,37585.62,37750.45,27326943244.0,718385701943.0
261,"May 02, 2022",38472.19,39074.97,38156.56,38529.33,32922642426.0,733170725791.0
